25; 0.874260493311571; 108; 260; 275; 345; 203; 313; 969; 797; 451; 458; 1126; 441; 648; 867
227; 7.666592018270699; 153; 428; 251; 411; 136; 372; 633; 855; 572; 525; 860; 369; 1152; 687
497; 16.745450987275476; 536; 403; 387; 419; 276; 396; 729; 979; 726; 441; 723; 503; 859; 432
787; 26.49681802805838; 457; 233; 390; 348; 305; 324; 1147; 892; 598; 391; 1017; 612; 436; 561
