29; 1.0087621076671973; 468; 110; 361; 326; 243; 304; 705; 638; 688; 324; 752; 295; 912; 162
34; 1.1768891256117302; 462; 112; 353; 321; 236; 296; 691; 616; 684; 316; 748; 278; 921; 154
40; 1.3786415471451696; 440; 97; 350; 316; 227; 289; 676; 594; 678; 312; 755; 259; 945; 136
45; 1.5467685650897025; 419; 104; 340; 318; 224; 284; 667; 587; 672; 316; 764; 251; 964; 136
51; 1.748520986623142; 414; 123; 334; 320; 209; 288; 662; 594; 665; 326; 771; 254; 983; 154
56; 1.9166480045676748; 406; 131; 332; 326; 209; 291; 662; 605; 668; 331; 768; 259; 993; 169
62; 2.1184004261011142; 408; 142; 334; 332; 209; 296; 657; 627; 672; 338; 764; 273; 988; 187
67; 2.286527444045647; 417; 120; 337; 329; 211; 299; 667; 631; 665; 338; 774; 280; 988; 201
72; 2.45465446199018; 424; 99; 342; 320; 219; 291; 700; 616; 659; 324; 784; 273; 955; 198
77; 2.6227814799347127; 424; 73; 347; 312; 225; 283; 710; 587; 662; 307; 787; 256; 926; 172
83; 2.8245339014681523; 419; 48; 345; 304; 227; 276; 710; 558; 662; 295; 780; 237; 916; 133
88; 2.992660919412685; 392; 62; 339; 300; 222; 272; 691; 540; 659; 292; 784; 223; 936; 97
94; 3.1944133409461246; 368; 70; 326; 305; 217; 270; 686; 544; 646; 302; 796; 223; 955; 111
99; 3.3625403588906573; 350; 56; 320; 305; 204; 273; 686; 554; 636; 309; 812; 223; 969; 147
105; 3.564292780424097; 355; 28; 321; 296; 204; 268; 710; 533; 624; 297; 828; 211; 960; 151
110; 3.7324197983686296; 363; 1; 326; 284; 206; 262; 729; 507; 620; 283; 838; 196; 926; 115
115; 3.9005468163131627; -1; -1; 329; 272; 211; 252; 748; 471; 617; 256; 848; 175; 892; 68
121; 4.102299237846602; -1; -1; 340; 252; 225; 224; 777; 431; 614; 232; 860; 153; 844; 14
127; 4.3040516593800415; -1; -1; 344; 246; 232; 216; 792; 398; 614; 216; 864; 139; -1; -1
128; 4.3376770629689485; -1; -1; 344; 241; 232; 216; 796; 391; 614; 213; 867; 136; -1; -1
134; 4.539429484502388; -1; -1; 348; 233; 236; 206; 816; 362; 611; 194; 876; 117; -1; -1
141; 4.774807309624734; -1; -1; 353; 220; 243; 193; -1; -1; 611; 177; 886; 96; -1; -1
146; 4.942934327569266; -1; -1; 353; 217; 243; 193; -1; -1; 601; 180; 902; 103; -1; -1
152; 5.144686749102706; -1; -1; 339; 230; 238; 196; 864; 359; 579; 204; 940; 136; -1; -1
157; 5.312813767047238; -1; -1; 332; 241; 236; 208; 888; 406; 560; 230; 972; 168; 696; 82
162; 5.4809407849917715; -1; -1; 321; 252; 230; 216; 897; 453; 540; 254; 1001; 199; 686; 180
168; 5.682693206525211; 212; 3; 307; 265; 219; 228; 916; 504; 515; 283; 1043; 232; 676; 277
173; 5.850820224469744; 184; 32; 300; 272; 212; 238; 926; 533; 499; 302; 1065; 249; 667; 349
179; 6.052572646003183; 177; 36; 294; 276; 211; 241; 940; 558; 480; 321; 1088; 271; 662; 428
184; 6.220699663947716; 128; 86; 286; 286; 206; 246; 940; 587; 470; 343; 1100; 285; 676; 507
190; 6.422452085481155; 92; 99; 275; 292; 195; 260; 950; 620; 444; 362; 1132; 302; 667; 586
195; 6.590579103425688; 83; 105; 270; 294; 192; 264; 955; 631; 428; 372; 1148; 312; 657; 640
201; 6.792331524959128; 83; 100; 268; 292; 190; 265; 964; 634; 422; 376; 1161; 316; 633; 666
205; 6.926833139314755; 112; 80; 273; 291; 193; 264; 974; 627; 428; 367; 1161; 314; 624; 640
211; 7.128585560848194; 121; 72; 284; 283; 196; 259; 974; 612; 438; 355; 1152; 304; 609; 590
216; 7.296712578792727; 177; 28; 292; 278; 206; 252; 974; 591; 454; 338; 1132; 295; 604; 522
221; 7.464839596737259; 219; 0; 300; 272; 211; 246; 974; 565; 473; 319; 1110; 278; 604; 435
226; 7.632966614681792; -1; -1; 312; 264; 222; 238; 964; 533; 496; 297; 1078; 259; 604; 345
232; 7.8347190362152315; -1; -1; 324; 252; 225; 233; 950; 482; 531; 256; 1027; 213; 614; 216
237; 8.002846054159765; -1; -1; 339; 236; 238; 219; 940; 420; 556; 223; 992; 172; 619; 111
242; 8.170973072104298; -1; -1; 347; 228; 246; 201; 921; 373; 576; 201; 956; 141; 633; 3
