#resolutions
2000; 600; 640; 480; 1000; 1000; 1280; 720; 1920; 1080; 1280; 720; 1280; 720; 1280; 720; 1280; 720; 1920; 1080;

#truth
0; 0.00; 77; 33; 136; 23; 548; -47; 219; 89; 447; 231; -224; -177; 123; 73; -284; 51; -24; 42; -110; 45;
1; 0.03; 21; -52; nan; nan; 276; -509; 309; -98; 535; -167; -230; -33; 200; -51; -195; 19; -183; -146; -63; -7;
2; 0.07; 68; -17; 96; -31; 296; -93; 127; -6; 232; 73; -101; -157; 58; -8; -196; -84; 63; -84; -101; -16;
3; 0.10; 214; -78; 419; -222; 1078; -645; 333; -35; 594; 42; nan; nan; nan; nan; -434; -72; -213; -1015; -166; -13;
4; 0.13; 189; -51; 281; -103; 729; -271; 228; -16; 411; 101; -221; -297; 118; -18; -440; -169; 312; -575; nan; nan;
5; 0.17; 72; -37; 89; -45; 238; -82; 68; -45; nan; nan; -28; -171; 1; -52; -151; -191; 132; -135; -108; -68;
6; 0.20; 89; -23; 111; -28; 300; -36; 76; -9; 131; 104; nan; nan; -2; -20; -201; -207; 186; -113; -140; -52;
7; 0.23; 62; 18; nan; nan; 310; 31; 117; 65; 230; 200; nan; nan; 49; 53; -196; -18; 64; 19; -97; 26;
8; 0.27; 169; -4; 373; -99; 1277; -557; 341; 32; 651; 141; -346; -233; 198; 32; -422; 10; -232; -282; nan; nan;
9; 0.30; 34; 29; 73; 13; 378; -135; 248; 78; 509; 148; -232; -77; nan; nan; -213; 92; -113; 37; -72; 44;
10; 0.33; 36; -6; 66; -34; 277; -198; 209; 3; 396; 26; -181; -76; 131; 9; -187; 24; -77; -46; -70; 12;
11; 0.37; 136; 76; 251; 90; 1064; 159; 237; 151; 512; 415; -299; -337; 121; 124; -460; 78; nan; nan; -168; 82;
12; 0.40; 144; -50; 303; -173; 952; -652; 347; -26; 628; 26; -315; -181; 207; -11; -366; -15; -247; -378; -133; 1;
13; 0.43; 50; -50; 95; -115; 361; -427; 275; -74; 483; -93; -220; -80; 175; -44; -223; -10; -136; -169; -82; -12;
14; 0.47; 120; 46; 208; 42; 783; 22; 221; 108; 456; 310; -249; -280; 114; 89; -391; 27; 82; 83; -153; 55;
15; 0.50; 54; -53; nan; nan; 233; -216; 143; -84; 246; -70; -109; -106; nan; nan; -166; -99; 8; -162; -81; -46;
16; 0.53; 35; 34; 73; 21; 381; -105; 243; 89; nan; nan; -231; -80; 149; 72; -214; 98; -107; 49; -72; 47;
17; 0.57; nan; nan; 232; 38; nan; nan; 190; 101; 385; 325; -213; -360; 83; 85; -462; -49; 282; 68; -196; 49;
18; 0.60; 114; -20; 167; -45; 494; -144; 180; 4; 333; 114; -164; -229; nan; nan; -312; -106; 115; -154; -148; -13;
19; 0.63; 77; -43; 118; -81; 368; -254; 198; -48; 352; -9; -167; -141; 115; -38; -236; -72; -10; -174; -104; -24;
20; 0.67; 89; -46; 245; -215; 992; -1006; 422; -40; 758; -50; -342; -105; 250; -11; -313; 42; -374; -245; nan; nan;
21; 0.70; 38; -35; 100; -130; 490; -645; 365; -51; 656; -93; -283; -56; 224; -17; -242; 46; -242; -136; -78; 8;
22; 0.73; 135; -7; nan; nan; 521; -39; nan; nan; 267; 190; -123; -311; 47; 20; -371; -182; 292; -132; -195; -14;
23; 0.77; 111; 11; 202; -24; 732; -214; 261; 50; 509; 170; -263; -208; 148; 44; -345; 10; nan; nan; -132; 27;
24; 0.80; 17; 27; 32; 23; 163; -6; 149; 79; 309; 144; -140; -45; 96; 64; -131; 80; -54; 46; nan; nan;

#data
25; 0.83; 98; -50; 169; -117; 538; -400; 269; -47; 480; -11; -234; -151; 163; -31; -291; -45; -89; -240; -116; -14;
26; 0.87; nan; nan; 174; 47; 800; -46; 265; 120; 559; 291; -287; -194; 150; 95; -330; 93; -73; 97; -117; 61;
27; 0.90; 76; 26; 180; -22; 894; -429; 343; 67; 685; 146; -325; -130; 202; 57; -310; 87; nan; nan; -102; 41;
28; 0.93; nan; nan; 134; -12; nan; nan; 108; 26; 198; 167; -75; -254; 24; 16; -265; -159; 196; -76; -155; -17;
29; 0.97; 55; 47; 89; 55; 356; 125; 143; 127; 303; 312; -144; -162; 71; 102; nan; nan; 25; 99; -90; 63;
30; 1.00; 73; 63; 140; 72; 676; 83; 236; 147; 516; 347; -263; -184; nan; nan; -301; 116; -49; 138; -107; 73;
31; 1.03; 125; 100; 286; 136; 1729; 207; 300; 185; 678; 465; -387; -290; 164; 143; -446; 157; -87; 326; -145; 93;
32; 1.07; 44; -25; 74; -58; 274; -230; 197; -34; 360; -20; -165; -87; nan; nan; -188; -15; nan; nan; -75; -6;
33; 1.10; 75; 53; 115; 66; 429; 183; 128; 137; 272; 368; -127; -235; nan; nan; -257; 46; 95; 124; -118; 72;
