#resolutions
2000; 600; 640; 480; 1000; 1000; 1280; 720; 1920; 1080; 1280; 720; 1280; 720; 1280; 720; 1280; 720; 1920; 1080;

#truth
0; 0.00; 85; 31; 144; 21; 556; -49; 227; 87; 456; 229; -216; -179; 131; 71; -276; 49; -15; 41; -101; 43;
1; 0.03; 13; -47; 46; -121; nan; nan; 301; -93; 528; -162; -238; -28; 192; -46; -202; 24; -191; -141; -71; -2;
2; 0.07; 75; -14; 103; -28; 303; -90; 134; -3; nan; nan; -94; -155; 65; -5; -189; -82; 70; -81; -94; -14;
3; 0.10; nan; nan; 411; -219; 1070; -642; 325; -33; 586; 45; -326; -239; nan; nan; -442; -70; nan; nan; nan; nan;
4; 0.13; nan; nan; 287; -112; 735; -281; 234; -26; 417; 92; -215; -307; nan; nan; -434; -178; 318; -585; nan; nan;
5; 0.17; 74; -37; 91; -44; nan; nan; 70; -44; 117; 29; -26; -171; 3; -52; -149; -191; 134; -134; -106; -68;
6; 0.20; 99; -32; 121; -37; 310; -46; 85; -18; 141; 94; -22; -233; 8; -29; -191; -216; 196; -122; -130; -62;
7; 0.23; 71; 10; 100; 8; 318; 22; 126; 57; nan; nan; -91; -178; 58; 45; -187; -26; 73; 11; -88; 18;
8; 0.27; 178; -3; 382; -98; nan; nan; 350; 34; 660; 142; -338; -232; 206; 33; -413; 12; -223; -280; nan; nan;
9; 0.30; 37; 27; 75; 11; 380; -137; 250; 77; 511; 146; -230; -79; 155; 63; -211; 91; -110; 35; -70; 42;
10; 0.33; 42; -4; 72; -31; 283; -196; 214; 5; 402; 28; -176; -74; 137; 12; -182; 27; -71; -43; -64; 14;
11; 0.37; 133; 67; 248; 82; 1061; 151; 234; 143; 509; 407; -302; -345; 118; 116; -463; 70; 108; 226; -171; 74;
12; 0.40; 138; -41; 297; -164; 946; -643; 340; -17; 621; 35; -322; -172; 200; -2; nan; nan; -254; -369; -140; 10;
13; 0.43; 44; -53; 89; -117; 355; -429; 269; -77; 477; -96; -226; -82; 169; -46; -229; -13; -142; -172; -88; -14;
14; 0.47; 122; 49; 210; 44; 784; 25; 223; 111; 457; 313; -247; -278; 116; 92; -389; 30; 83; 86; -152; 58;
15; 0.50; 53; -45; 76; -71; 232; -208; 142; -76; 245; -62; -110; -98; 80; -63; -167; -91; 7; -155; -82; -38;
16; 0.53; 31; 39; 69; 27; 377; -99; 240; 95; 502; 176; -235; -74; 146; 77; -217; 104; -111; 55; -75; 53;
17; 0.57; 141; 34; 226; 31; 767; 58; 184; 94; 379; 318; -219; -367; 77; 78; nan; nan; 275; 61; -202; 42;
18; 0.60; 123; -16; 176; -41; 504; -140; 190; 9; 343; 119; -154; -225; 98; 5; -303; -102; 124; -150; -138; -9;
19; 0.63; 81; -44; 122; -81; 373; -254; 202; -49; 357; -9; -162; -141; 119; -38; -232; -73; nan; nan; -100; -25;
20; 0.67; 97; -40; 253; -209; 1000; -999; 430; -34; 765; -43; -335; -98; 257; -4; -306; 48; nan; nan; -95; 17;
21; 0.70; 47; -26; 109; -120; 499; -636; 374; -41; 665; -84; -275; -46; 233; -8; -233; 56; -233; -127; -69; 18;
22; 0.73; 134; 3; 184; -9; 519; -29; 142; 40; nan; nan; -125; -302; 46; 30; -373; -172; 291; -122; -197; -5;
23; 0.77; 111; 15; 202; -20; nan; nan; 261; 54; 509; 174; -263; -204; 148; 48; -345; 14; -40; -58; nan; nan;
24; 0.80; 22; 17; 37; 14; 169; -16; 154; 69; 314; 135; -134; -55; 101; 54; -126; 70; -49; 36; -41; 32;

#data
25; 0.83; 106; -55; 177; -122; 546; -405; 277; -52; 488; -15; -226; -155; 171; -36; -283; -50; -81; -244; -108; -19;
26; 0.87; 96; 45; 182; 39; 808; -54; 273; 111; 567; 283; -279; -202; 158; 87; -322; 84; -65; 89; -109; 52;
27; 0.90; 73; 32; 176; -15; 890; -423; nan; nan; 682; 152; -328; -124; 198; 64; -313; 93; -217; 1; -105; 47;
28; 0.93; 105; -6; nan; nan; 388; -12; 112; 26; 202; 167; -71; -255; nan; nan; -261; -159; 200; -76; -151; -17;
29; 0.97; 63; 41; 96; 49; 364; 119; nan; nan; nan; nan; nan; nan; 79; 96; -203; 65; 32; 93; nan; nan;
30; 1.00; 68; 60; 135; 68; nan; nan; 232; 144; nan; nan; -268; -187; 128; 112; -306; 113; -54; 135; -112; 69;
31; 1.03; 129; 99; 289; 134; 1732; 206; nan; nan; 682; 463; -384; -291; 167; 142; -443; 156; -83; 325; nan; nan;
32; 1.07; 36; -20; 66; -52; 266; -225; 189; -28; 351; -14; -174; -82; 115; -15; -196; -10; -66; -90; nan; nan;
33; 1.10; 74; 63; 114; 76; 428; 193; 127; 147; 271; 378; -128; -225; 49; 123; -258; 56; 94; 134; -119; 81;
34; 1.13; 97; -73; nan; nan; 314; -195; 123; -88; 206; -32; -83; -187; 46; -91; nan; nan; 135; -269; -132; -89;
35; 1.17; 101; -55; 226; -194; 806; -790; 391; -52; 688; -55; -305; -113; 239; -22; -298; 18; -291; -266; -96; 3;
36; 1.20; nan; nan; 141; -77; 353; -149; 119; -61; 200; 23; -70; -226; 36; -69; -243; -243; 199; -253; nan; nan;
37; 1.23; nan; nan; 168; -44; 495; -124; 162; 5; 304; 127; -160; -254; 69; 0; -338; -136; 161; -171; nan; nan;
38; 1.27; 122; -49; 174; -83; 482; -217; nan; nan; 338; 50; -160; -223; 99; -35; -304; -140; 111; -249; -144; -39;
39; 1.30; 103; -51; 130; -68; 332; -150; 121; -57; 203; 16; nan; nan; 42; -62; -226; -208; 160; -229; -136; -71;
40; 1.33; 142; 50; 245; 54; 923; 78; 232; 119; 480; 354; -261; -333; nan; nan; -433; 30; 138; 141; -161; 58;
41; 1.37; 135; -14; 242; -78; 784; -369; 297; 13; 549; 99; -268; -195; 177; 16; -345; -13; -80; -192; -126; 13;
42; 1.40; 86; 18; 117; 18; 356; 60; 87; 62; 167; 227; -61; -248; 7; 49; -246; -117; 180; -3; -149; 13;
