#resolutions
2000; 600; 640; 480; 1000; 1000; 1280; 720; 1920; 1080; 1280; 720; 1280; 720; 1280; 720; 1280; 720; 1920; 1080;

#truth
0; 0.00; nan; nan; nan; nan; 548; -47; nan; nan; nan; nan; -224; -177; nan; nan; -284; 51; nan; nan; nan; nan;
1; 0.03; nan; nan; 54; -126; 276; -509; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
2; 0.07; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
3; 0.10; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; -434; -72; nan; nan; nan; nan;
4; 0.13; nan; nan; 281; -103; 729; -271; nan; nan; nan; nan; -221; -297; nan; nan; -440; -169; nan; nan; nan; nan;
5; 0.17; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; -28; -171; nan; nan; nan; nan; nan; nan; nan; nan;
6; 0.20; nan; nan; nan; nan; 300; -36; 76; -9; nan; nan; -31; -223; nan; nan; nan; nan; nan; nan; nan; nan;
7; 0.23; nan; nan; nan; nan; 310; 31; 117; 65; nan; nan; nan; nan; nan; nan; -196; -18; nan; nan; nan; nan;
8; 0.27; nan; nan; nan; nan; 1277; -557; nan; nan; nan; nan; nan; nan; nan; nan; -422; 10; nan; nan; nan; nan;
9; 0.30; nan; nan; 73; 13; 378; -135; nan; nan; nan; nan; -232; -77; nan; nan; nan; nan; nan; nan; nan; nan;
10; 0.33; nan; nan; 66; -34; nan; nan; 209; 3; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
11; 0.37; nan; nan; 251; 90; 1064; 159; 237; 151; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
12; 0.40; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; -315; -181; nan; nan; nan; nan; nan; nan; nan; nan;
13; 0.43; nan; nan; nan; nan; 361; -427; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
14; 0.47; nan; nan; nan; nan; nan; nan; nan; nan; 456; 310; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
15; 0.50; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; -166; -99; nan; nan; -81; -46;
16; 0.53; nan; nan; nan; nan; nan; nan; nan; nan; 505; 171; nan; nan; nan; nan; nan; nan; nan; nan; -72; 47;
17; 0.57; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
18; 0.60; nan; nan; nan; nan; 494; -144; nan; nan; nan; nan; -164; -229; nan; nan; nan; nan; nan; nan; nan; nan;
19; 0.63; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
20; 0.67; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; -313; 42; nan; nan; nan; nan;
21; 0.70; nan; nan; nan; nan; 490; -645; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; -78; 8;
22; 0.73; nan; nan; nan; nan; 521; -39; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; -195; -14;
23; 0.77; nan; nan; nan; nan; 732; -214; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; -132; 27;
24; 0.80; nan; nan; nan; nan; 163; -6; nan; nan; nan; nan; nan; nan; nan; nan; -131; 80; nan; nan; nan; nan;

#data
25; 0.83; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; -234; -151; nan; nan; nan; nan; nan; nan; -116; -14;
26; 0.87; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; -287; -194; nan; nan; nan; nan; nan; nan; nan; nan;
27; 0.90; nan; nan; nan; nan; nan; nan; 343; 67; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
28; 0.93; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; -265; -159; nan; nan; nan; nan;
29; 0.97; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
30; 1.00; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; -263; -184; nan; nan; nan; nan; nan; nan; nan; nan;
31; 1.03; nan; nan; nan; nan; 1729; 207; nan; nan; nan; nan; -387; -290; nan; nan; nan; nan; nan; nan; nan; nan;
32; 1.07; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; -165; -87; nan; nan; nan; nan; nan; nan; -75; -6;
33; 1.10; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; -118; 72;
34; 1.13; nan; nan; nan; nan; 314; -193; nan; nan; nan; nan; -84; -185; nan; nan; -220; -215; nan; nan; -132; -87;
35; 1.17; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
36; 1.20; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; -248; -239; nan; nan; nan; nan;
37; 1.23; 123; -21; nan; nan; nan; nan; nan; nan; nan; nan; -152; -253; nan; nan; -330; -135; nan; nan; nan; nan;
38; 1.27; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
39; 1.30; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; -79; -202; nan; nan; nan; nan; nan; nan; nan; nan;
40; 1.33; 135; 60; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
41; 1.37; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; -135; 9;
42; 1.40; 90; 11; 121; 12; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; -242; -124; nan; nan; -145; 7;
43; 1.43; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; -207; 2;
44; 1.47; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; -429; 148; nan; nan; nan; nan;
45; 1.50; nan; nan; nan; nan; nan; nan; 321; 133; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
46; 1.53; 74; -3; nan; nan; nan; nan; 53; 24; 92; 155; nan; nan; nan; nan; nan; nan; nan; nan; -118; -23;
47; 1.57; 43; 8; nan; nan; nan; nan; 150; 37; 293; 110; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
48; 1.60; 38; -25; nan; nan; nan; nan; 184; -38; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
49; 1.63; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
50; 1.67; nan; nan; nan; nan; nan; nan; nan; nan; 354; -52; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
51; 1.70; nan; nan; nan; nan; nan; nan; 272; -31; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
52; 1.73; nan; nan; nan; nan; nan; nan; 249; 15; 467; 120; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
53; 1.77; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
54; 1.80; nan; nan; nan; nan; 308; -279; 293; 50; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; -58; 37;
55; 1.83; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; -324; -88; nan; nan; nan; nan; -329; -218; nan; nan;
56; 1.87; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; -215; -86; nan; nan; nan; nan; nan; nan; nan; nan;
57; 1.90; nan; nan; nan; nan; nan; nan; 209; 97; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
58; 1.93; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; -71; 93; nan; nan;
59; 1.97; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
60; 2.00; nan; nan; 128; -52; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
61; 2.03; nan; nan; 105; 91; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; 20; 170; -99; 89;
62; 2.07; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; -56; -28; nan; nan;
63; 2.10; nan; nan; nan; nan; nan; nan; 146; 36; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
64; 2.13; nan; nan; nan; nan; 332; 123; 94; 100; 188; 289; nan; nan; nan; nan; nan; nan; 114; 67; nan; nan;
65; 2.17; nan; nan; nan; nan; nan; nan; nan; nan; 260; -40; nan; nan; nan; nan; -112; 11; -54; -41; -41; 0;
66; 2.20; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; 181; -115; -175; 13;
67; 2.23; nan; nan; nan; nan; 866; -632; nan; nan; nan; nan; nan; nan; nan; nan; -384; -77; nan; nan; nan; nan;
68; 2.27; 126; -11; nan; nan; 550; -118; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
69; 2.30; 96; 21; nan; nan; nan; nan; nan; nan; 353; 225; nan; nan; nan; nan; nan; nan; 78; 5; nan; nan;
70; 2.33; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; -179; -76; nan; nan; nan; nan;
71; 2.37; nan; nan; nan; nan; nan; nan; nan; nan; 445; 54; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
72; 2.40; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; -259; -223; nan; nan; nan; nan;
73; 2.43; nan; nan; nan; nan; nan; nan; nan; nan; 829; 25; nan; nan; nan; nan; nan; nan; -345; -69; nan; nan;
74; 2.47; 81; -101; nan; nan; nan; nan; 329; -124; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
75; 2.50; nan; nan; 51; 23; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; -2; 39; nan; nan;
76; 2.53; 70; 21; nan; nan; nan; nan; 155; 69; nan; nan; nan; nan; nan; nan; nan; nan; 41; 18; nan; nan;
77; 2.57; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; 79; 136; nan; nan; nan; nan; nan; nan;
78; 2.60; nan; nan; 157; -97; nan; nan; 209; -50; nan; nan; nan; nan; 117; -42; nan; nan; 29; -250; nan; nan;
79; 2.63; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; 109; -30; nan; nan; nan; nan; -51; -9;
80; 2.67; nan; nan; nan; nan; nan; nan; 87; -36; 150; 44; nan; nan; 16; -42; -181; -179; 133; -137; -117; -58;
81; 2.70; nan; nan; 72; -40; nan; nan; 210; -4; nan; nan; nan; nan; 132; 4; -193; 15; nan; nan; -73; 8;
82; 2.73; nan; nan; 185; -14; nan; nan; 183; 43; 350; 192; nan; nan; 86; 35; nan; nan; 152; -81; nan; nan;
83; 2.77; nan; nan; nan; nan; nan; nan; nan; nan; 697; 281; nan; nan; nan; nan; nan; nan; nan; nan; -173; 51;
84; 2.80; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
85; 2.83; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; -320; -347; nan; nan; nan; nan; nan; nan; nan; nan;
86; 2.87; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
87; 2.90; nan; nan; 245; 82; nan; nan; nan; nan; nan; nan; -317; -290; nan; nan; nan; nan; nan; nan; nan; nan;
88; 2.93; nan; nan; 138; 55; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
89; 2.97; nan; nan; 112; -187; 480; -721; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
90; 3.00; nan; nan; 156; -52; 543; -251; 244; 11; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; -116; 9;
91; 3.03; nan; nan; 109; -104; 507; -554; 343; -29; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
92; 3.07; nan; nan; nan; nan; nan; nan; 237; 1; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
93; 3.10; nan; nan; nan; nan; nan; nan; 261; 38; nan; nan; nan; nan; nan; nan; nan; nan; 27; -158; -157; 17;
94; 3.13; nan; nan; 183; -31; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
95; 3.17; 163; -6; 277; -51; 853; -236; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; 105; -226; -172; 12;
96; 3.20; 129; 68; 408; 31; 2929; -923; 407; 119; nan; nan; nan; nan; nan; nan; nan; nan; -419; 107; -127; 61;
97; 3.23; 80; 49; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; -122; 64;
98; 3.27; nan; nan; 159; -41; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; -303; -129; 145; -151; -151; -20;
99; 3.30; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; -320; 37; -52; -3; -120; 37;
100; 3.33; 136; -59; nan; nan; 643; -397; nan; nan; nan; nan; nan; nan; 156; -32; nan; nan; nan; nan; -142; -21;
101; 3.37; 64; -68; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; 116; -79; -203; -92; -27; -217; nan; nan;
102; 3.40; nan; nan; 35; -103; 153; -336; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
103; 3.43; 74; -85; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
104; 3.47; 41; -49; 59; -72; 184; -197; nan; nan; nan; nan; nan; nan; 71; -73; nan; nan; nan; nan; nan; nan;
105; 3.50; nan; nan; 271; 68; nan; nan; nan; nan; nan; nan; nan; nan; 218; 107; -367; 149; nan; nan; nan; nan;
106; 3.53; 63; 17; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; -289; 85; -225; -25; nan; nan;
107; 3.57; 112; -50; 149; -74; 400; -171; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; 154; -242; nan; nan;
108; 3.60; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
109; 3.63; nan; nan; 193; 64; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; -354; 103; -63; 133; nan; nan;
110; 3.67; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; -195; 130; nan; nan;
111; 3.70; 53; -76; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
112; 3.73; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
113; 3.77; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
114; 3.80; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
115; 3.83; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; 23; -200; nan; nan;
116; 3.87; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; 16; -8; -266; -210; 225; -130; nan; nan;
117; 3.90; nan; nan; nan; nan; nan; nan; 241; -11; nan; nan; -226; -213; nan; nan; nan; nan; 21; -240; nan; nan;
118; 3.93; 150; 87; nan; nan; nan; nan; 321; 153; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
119; 3.97; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; -206; -357; nan; nan; nan; nan; nan; nan; nan; nan;
120; 4.00; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; -99; -300; nan; nan; nan; nan; nan; nan; nan; nan;
121; 4.03; nan; nan; nan; nan; nan; nan; 206; 117; nan; nan; nan; nan; 110; 95; nan; nan; nan; nan; nan; nan;
122; 4.07; nan; nan; nan; nan; nan; nan; 327; 15; nan; nan; nan; nan; 193; 19; nan; nan; nan; nan; nan; nan;
123; 4.10; 64; -1; 101; -20; nan; nan; nan; nan; nan; nan; -162; -140; nan; nan; nan; nan; -4; -45; nan; nan;
124; 4.13; 64; 47; nan; nan; 353; 163; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
125; 4.17; 7; -19; nan; nan; 175; -323; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
126; 4.20; nan; nan; nan; nan; 189; -80; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
127; 4.23; 144; -32; nan; nan; nan; nan; 288; -5; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
128; 4.27; 158; 78; nan; nan; nan; nan; 287; 143; nan; nan; nan; nan; 155; 116; -492; 87; 19; 255; nan; nan;
129; 4.30; 4; 4; nan; nan; nan; nan; nan; nan; nan; nan; -173; -10; 138; 20; nan; nan; nan; nan; nan; nan;
130; 4.33; 84; -13; nan; nan; 522; -269; 249; 6; nan; nan; -228; -152; nan; nan; nan; nan; -65; -109; nan; nan;
131; 4.37; nan; nan; nan; nan; nan; nan; 362; 19; nan; nan; -302; -63; nan; nan; nan; nan; nan; nan; nan; nan;
132; 4.40; 178; 73; nan; nan; nan; nan; nan; nan; nan; nan; -342; -381; nan; nan; nan; nan; 221; 271; nan; nan;
133; 4.43; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
134; 4.47; 124; 17; nan; nan; 517; 49; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
135; 4.50; nan; nan; nan; nan; 863; -426; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
136; 4.53; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
137; 4.57; 165; -53; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; 183; -439; nan; nan;
138; 4.60; nan; nan; 178; 30; nan; nan; 187; 93; nan; nan; nan; nan; nan; nan; nan; nan; 119; 48; nan; nan;
139; 4.63; 72; -64; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
140; 4.67; nan; nan; 337; -103; 974; -383; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
141; 4.70; 53; -81; nan; nan; 267; -364; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; -64; -235; nan; nan;
142; 4.73; nan; nan; 231; -26; 746; -162; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
143; 4.77; nan; nan; nan; nan; 578; 31; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
144; 4.80; nan; nan; 69; 9; 212; 39; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; 85; 1; nan; nan;
145; 4.83; nan; nan; nan; nan; 571; -310; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; 62; -345; nan; nan;
146; 4.87; nan; nan; nan; nan; 242; -266; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; -121; -44; nan; nan;
147; 4.90; nan; nan; nan; nan; 743; -174; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
148; 4.93; nan; nan; nan; nan; 847; -68; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
149; 4.97; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; 328; -73; nan; nan;
150; 5.00; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; -46; -61; nan; nan;
