#resolutions
2000; 600; 640; 480; 1000; 1000; 1280; 720; 1920; 1080; 1280; 720; 1280; 720; 1280; 720; 1280; 720; 1920; 1080

#truth
23; 0.77; 111.7244828; 11.9054209; 202.4372161; -23.2822971; 732.1776730; -213.1701246; 261.3777640; 50.7572165; 509.6842476; 170.7532136; nan; nan; 148.8328603; 44.2908429; -344.4513545; 10.5313215; -39.7530858; -60.9229839; -131.7001558; 27.4566448
24; 0.80; 17.0272231; 27.2418127; 32.5486540; 23.9707342; 163.7677786; -5.9561544; nan; nan; 309.0707920; 144.8776902; -139.2724454; -44.4788918; 96.3999459; 64.1999919; -130.9113137; 80.1622262; -53.3369088; 46.0350530; -46.0886274; 41.6742015

#data
25; 0.83; nan; nan; 169.5721693; -116.3844821; 538.1930985; -399.4866814; 269.9820438; -46.6263022; nan; nan; nan; nan; 163.0478889; -30.4887903; nan; nan; -88.0100929; -239.0240636; -115.2288712; -13.5623339
26; 0.87; 88.3065253; 53.2655362; 174.3050416; 47.6718740; 800.4047609; -45.3682128; 265.2027183; 120.1446583; 559.2013357; 291.9026618; nan; nan; nan; nan; -329.6224654; 93.1762370; nan; nan; nan; nan
27; 0.90; 76.5027221; 26.4991651; 180.1298716; -21.0847663; 894.1902814; -428.7393076; 343.0864216; 67.0334075; 685.7038101; 146.0584212; nan; nan; nan; nan; -309.2432165; 87.5617669; nan; nan; nan; nan
28; 0.93; 101.5112131; -5.1608755; 134.8142311; -11.1134263; 384.3845237; -11.4249604; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; -154.5911271; -16.4538849
29; 0.97; 55.4332876; 47.5114109; 89.1357337; 55.8405499; 356.4499574; 125.9187253; nan; nan; 303.9141073; 312.3826302; nan; nan; nan; nan; nan; nan; nan; nan; -89.1862410; 63.3604132
30; 1.00; nan; nan; 140.6308957; 72.0778162; nan; nan; 236.8199227; 147.3224353; nan; nan; -262.2624812; -183.0248622; 132.9925010; 115.4066615; nan; nan; nan; nan; -106.8495842; 73.0145425
31; 1.03; 125.9410490; 100.9917050; 286.8071142; 136.3859038; 1729.2291614; 207.9202507; 300.8027628; 185.5365622; nan; nan; -386.2099897; -289.2197681; 164.5418542; 143.9939598; nan; nan; -86.0657683; 326.6920902; -144.7723349; 93.6480298
32; 1.07; 44.3358224; -24.5871092; nan; nan; 274.6720385; -229.7233491; 197.4972264; -33.0597098; nan; nan; -164.9495748; -86.4966095; 123.3885096; -19.6796969; -187.6687090; -14.6550791; nan; nan; -74.8115182; -5.7531002
33; 1.10; 75.4345520; 53.3344972; 115.4537308; 66.2119233; nan; nan; 128.7868631; 137.9468513; 272.4172875; 368.2372157; nan; nan; nan; nan; -256.6128691; 46.8382309; nan; nan; nan; nan
34; 1.13; 96.9820732; -70.0912643; nan; nan; 314.3612168; -192.0496165; 123.3611636; -85.5128022; 206.3077808; -28.9834423; nan; nan; 46.4292830; -88.0363880; nan; nan; nan; nan; nan; nan
35; 1.17; nan; nan; nan; nan; 798.0124766; -790.6460198; 383.1617915; -52.6608365; 679.6940034; -55.5843959; -313.3492842; -113.0280871; 231.3376590; -22.6573075; nan; nan; nan; nan; -104.4469752; 2.3670305
36; 1.20; nan; nan; nan; nan; 348.7714041; -144.1996575; nan; nan; nan; nan; -74.2814185; -221.5933090; nan; nan; nan; nan; nan; nan; nan; nan
37; 1.23; nan; nan; nan; nan; 503.9129398; -122.5372725; 170.3404728; 6.6525912; 312.8547342; 127.9185730; -151.5561251; -252.5326841; 77.1638080; 1.4811955; -329.3270438; -134.4643234; 169.4578581; -169.2535243; nan; nan
38; 1.27; nan; nan; 171.0079857; -76.5170182; 478.9480503; -210.3022807; 187.8604115; -29.4304854; nan; nan; nan; nan; 95.8297254; -28.5691441; -306.5888243; -133.2996843; nan; nan; nan; nan
39; 1.30; 99.9829001; -57.4920687; 126.7746535; -75.0417314; 328.4400717; -157.1197480; 117.6945078; -63.4860633; 199.8397459; 8.9262972; -78.1889087; -201.0047048; nan; nan; -229.2980424; -214.9910006; 157.0544692; -235.9002118; nan; nan
40; 1.33; nan; nan; nan; nan; 915.9958004; 87.7713976; 225.3198958; 128.3267415; nan; nan; -268.4395174; -323.4560103; nan; nan; nan; nan; nan; nan; nan; nan
41; 1.37; 126.1445106; -17.2034922; 233.3721399; -80.6585438; 775.7146221; -371.4868279; nan; nan; 540.1512098; 95.9575070; -276.1024533; -198.1643938; nan; nan; nan; nan; nan; nan; -134.6237591; 9.9543776
42; 1.40; 90.8760826; 11.7544021; nan; nan; nan; nan; 91.5487020; 56.0270912; 171.5680750; 221.3995441; -55.9777272; -253.7461617; nan; nan; -241.4791811; -123.1436112; nan; nan; -144.1206139; 7.1221970
43; 1.43; 221.7065810; -19.7103389; nan; nan; 1033.7667424; -293.8437920; 267.2545554; 24.8616804; nan; nan; nan; nan; nan; nan; -513.8190445; -108.7161514; nan; nan; -206.7293261; 2.2107468
44; 1.47; nan; nan; 279.3249400; 120.3904829; 1648.9427159; 113.4025930; 307.0076360; 174.6663046; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; -139.7870618; 87.3520900
45; 1.50; nan; nan; 233.9195029; 60.3392727; 1267.1092071; -158.2554462; 321.8942139; 133.2144665; nan; nan; -353.9221137; -199.1293818; 183.4908181; 104.1268276; nan; nan; nan; nan; -121.3848467; 66.7574678
46; 1.53; 74.0504052; -2.8212648; 93.5049953; -1.7977047; 260.7223444; 29.3307905; nan; nan; nan; nan; -6.3294253; -208.5731392; -17.5364564; 12.7266911; nan; nan; nan; nan; -117.2558884; -22.8509864
47; 1.57; 43.2204002; 8.4934041; 69.0003825; -2.8355059; 258.8569026; -62.7694071; nan; nan; 293.6656372; 110.7158815; -134.0727577; -103.7121226; 86.6936058; 32.2540166; nan; nan; nan; nan; -72.8119092; 19.4975678
48; 1.60; nan; nan; 63.7888876; -54.4751234; nan; nan; 184.0322728; -37.4967687; 334.9949414; -30.5252579; nan; nan; 116.2138493; -23.2840677; -171.0805594; -15.5647292; nan; nan; -68.4359095; -7.5831966
