#resolutions
640; 480; 640; 480; 1920; 1088; 1280; 720; 1280; 720

# truth
2527; 0.941511300489384; -44; -104; -115; -73; 9; -253; -188; -98; 486; -81
2530; 1.0423875112561038; -44; -105; -115; -73; 9; -253; -188; -98; 486; -81
2534; 1.1768891256117302; -44; -105; -116; -72; 4; -257; -188; -98; 486; -81
2538; 1.3113907399673563; -44; -105; -116; -72; 4; -257; -188; -98; 486; -81
2542; 1.4458923543229827; -44; -104; -116; -72; 4; -257; -188; -98; 486; -81
2721; 7.464839596737259; -68; -171; -182; -132; -326; -311; -67; -165; 220; -9
2726; 7.632966614681792; -68; -171; -182; -134; -326; -311; -67; -165; 220; -9
2731; 7.801093632626325; -67; -172; -184; -132; -326; -311; -67; -165; 220; -9
2736; 7.9692206505708585; -68; -172; -180; -128; -326; -311; -67; -165; 217; -9
2742; 8.170973072104298; -67; -172; -182; -128; -326; -311; -67; -165; 217; -9
2993; 16.610949372919848; 67; -179; -43; -156; -230; -435; 86; -81; 83; -143
2998; 16.77907639086438; 67; -179; -43; -156; -230; -435; 86; -81; 83; -143
3002; 16.913578005220007; 67; -179; -43; -156; -230; -438; 86; -81; 80; -146
3008; 17.115330426753445; 67; -179; -43; -156; -230; -435; 86; -81; 83; -143
3013; 17.28345744469798; 65; -179; -43; -155; -230; -438; 86; -81; 83; -143
3291; 26.631319642414006; 72; -108; -14; -84; 187; -348; -41; -31; 374; -251
3295; 26.765821256769634; 72; -108; -14; -86; 182; -348; -41; -31; 377; -249
3300; 26.933948274714165; 72; -110; -14; -86; 182; -348; -41; -31; 374; -249
3305; 27.1020752926587; 70; -110; -14; -86; 182; -348; -41; -31; 377; -249
3310; 27.27020231060323; 70; -110; -16; -86; 182; -348; -41; -31; 377; -249
4008; 3.6651689911908165; 89; -105; -30; -92; -201; -181; 95; 33; 60; -21
4010; 3.7324197983686296; 81; -100; -30; -92; -201; -155; 89; 35; 67; -7
4011; 3.766045201957536; 81; -100; -30; -92; -201; -148; 86; 40; 73; -2
4014; 3.866921412724256; 68; -95; -40; -76; -211; -137; 73; 38; 86; 11
4014; 3.866921412724256; 68; -95; -40; -76; -211; -137; 73; 38; 86; 11

# data
4007; 0.2690032287112526; 92; -115; -31; -121; -196; -210; 95; 26; 60; -28
4015; 0.5380064574225052; 68; -95; -40; -76; -211; -137; 73; 38; 86; 11
4023; 0.8070096861337578; 51; -92; -68; -67; -235; -116; 57; 31; 102; 40
4031; 1.0760129148450104; 41; -86; -76; -63; -259; -83; 47; 38; 112; 71
4039; 1.345016143556263; 30; -76; -92; -49; -278; -50; 41; 47; 115; 98
4047; 1.6140193722675156; 17; -79; -103; -46; -292; -43; 28; 38; 127; 108
4055; 1.883022600978768; 12; -84; -110; -47; -302; -61; 28; 31; 127; 100
4063; 2.1520258296900208; 14; -94; -110; -56; -302; -83; 32; 19; 124; 83
4071; 2.4210290584012735; 22; -79; -100; -51; -259; -76; 22; 33; 144; 83
4079; 2.690032287112526; 27; -72; -94; -43; -244; -32; 22; 55; 147; 108
4087; 2.9590355158237784; 19; -60; -97; -31; -264; 3; 19; 67; 144; 136
4095; 3.228038744535031; 6; -65; -102; -30; -273; -3; 6; 55; 160; 134
4103; 3.497041973246284; 1; -60; -116; -28; -259; 0; -12; 55; 185; 144
4111; 3.766045201957536; 9; -38; -108; -12; -230; 43; -19; 81; 195; 165
4119; 4.035048430668789; 17; -20; -100; 3; -187; 101; -22; 120; 214; 196
4127; 4.3040516593800415; 23; -6; -88; 23; -168; 145; -25; 144; 224; 220
4135; 4.573054888091294; 32; 12; -81; 38; -139; 184; -28; 168; 240; 247
4151; 5.111061345513799; 25; 12; -76; 46; -105; 184; -57; 158; 294; 230
4159; 5.380064574225052; 6; -8; -83; 31; -67; 119; -86; 120; 342; 177
4167; 5.649067802936305; -9; -22; -100; 11; -43; 50; -121; 79; 396; 132
4175; 5.918071031647557; -19; -31; -107; 1; -28; 3; -147; 52; 435; 103
4183; 6.18707426035881; -33; -46; -113; -6; -24; -39; -166; 21; 457; 76
4191; 6.456077489070062; -44; -52; -124; -20; -9; -76; -198; -4; 495; 52
4199; 6.7250807177813146; -51; -54; -129; -25; 0; -94; -214; -16; 518; 43
4207; 6.994083946492568; -43; -49; -126; -24; 14; -79; -211; -4; 518; 47
4215; 7.26308717520382; -33; -41; -123; -19; 14; -50; -185; 19; 495; 62
4223; 7.532090403915072; -11; -25; -108; -6; 14; -7; -160; 50; 457; 88
4231; 7.801093632626325; 4; -12; -94; 6; -4; 50; -115; 96; 400; 139
4239; 8.070096861337579; 22; 6; -81; 20; -28; 145; -76; 146; 335; 201
4247; 8.33910009004883; 30; 12; -70; 41; -52; 181; -57; 163; 304; 220
4255; 8.608103318760083; 19; -1; -78; 33; -52; 130; -76; 132; 332; 182
4263; 8.877106547471335; 4; -15; -88; 15; -33; 58; -105; 93; 387; 134
4271; 9.146109776182588; -12; -33; -99; -1; -24; 0; -131; 57; 415; 98
4279; 9.415113004893842; -22; -44; -108; -14; -19; -39; -150; 28; 438; 74
4287; 9.684116233605094; -30; -52; -112; -19; -19; -72; -163; 7; 451; 52
4295; 9.953119462316346; -35; -57; -120; -30; -4; -94; -179; -7; 480; 33
4303; 10.222122691027598; -31; -49; -115; -24; 33; -87; -192; 0; 512; 33
4311; 10.49112591973885; -33; -63; -115; -25; -33; -101; -160; -7; 425; 38
4319; 10.760129148450105; -46; -97; -139; -56; -177; -141; -115; -45; 304; 55
4327; 11.029132377161357; -59; -120; -155; -68; -336; -148; -54; -64; 195; 88
