#resolutions
2000; 600; 640; 480; 1000; 1000; 1280; 720; 1920; 1080; 1280; 720; 1280; 720; 1280; 720; 1280; 720; 1920; 1080;

#truth
0; 0.00; 84; 33; 143; 22; nan; nan; nan; nan; nan; nan; -217; -177; nan; nan; nan; nan; nan; nan; nan; nan;
1; 0.03; nan; nan; nan; nan; 270; -511; nan; nan; 529; -169; -236; -35; 193; -53; nan; nan; nan; nan; -70; -9;
2; 0.07; 64; -11; nan; nan; nan; nan; nan; nan; 228; 79; -106; -151; nan; nan; -201; -78; 58; -78; -106; -10;
3; 0.10; 213; -80; 418; -224; nan; nan; nan; nan; nan; nan; -319; -243; 195; -25; -435; -74; -214; -1017; nan; nan;
4; 0.13; 194; -42; 287; -93; nan; nan; nan; nan; 417; 111; -215; -287; nan; nan; -434; -159; nan; nan; -193; -21;
5; 0.17; nan; nan; nan; nan; 247; -75; 78; -38; 125; 35; nan; nan; nan; nan; -142; -184; nan; nan; -98; -61;
6; 0.20; 95; -27; nan; nan; 306; -41; nan; nan; 137; 99; nan; nan; 4; -24; -195; -211; 193; -117; -133; -57;
7; 0.23; nan; nan; nan; nan; 306; 38; nan; nan; nan; nan; nan; nan; 45; 60; -200; -11; 61; 26; -101; 33;
8; 0.27; 161; -13; nan; nan; nan; nan; nan; nan; 643; 133; nan; nan; nan; nan; -430; 2; nan; nan; nan; nan;
9; 0.30; 31; 30; nan; nan; nan; nan; 245; 80; 506; 149; nan; nan; nan; nan; -217; 94; nan; nan; -75; 45;
10; 0.33; 27; -6; 57; -33; nan; nan; 200; 3; 387; 26; -191; -76; nan; nan; -196; 25; nan; nan; nan; nan;
11; 0.37; nan; nan; 243; 96; nan; nan; 229; 158; 504; 422; -307; -331; 112; 130; -468; 84; nan; nan; -176; 88;
12; 0.40; 152; -50; 311; -174; 960; -653; 355; -27; 635; 25; -307; -181; 214; -11; nan; nan; nan; nan; -126; 0;
13; 0.43; nan; nan; 95; -117; nan; nan; nan; nan; nan; nan; -220; -82; 174; -46; -223; -12; nan; nan; nan; nan;
14; 0.47; nan; nan; 204; 36; nan; nan; 217; 102; 452; 305; -253; -286; nan; nan; -395; 22; nan; nan; nan; nan;
15; 0.50; nan; nan; 85; -75; nan; nan; 151; -79; 254; -66; -102; -102; 89; -66; nan; nan; nan; nan; -73; -41;
16; 0.53; nan; nan; 70; 24; nan; nan; nan; nan; 502; 173; nan; nan; nan; nan; nan; nan; -110; 52; nan; nan;
17; 0.57; 146; 45; 231; 42; nan; nan; nan; nan; 383; 329; -214; -356; nan; nan; nan; nan; 280; 71; -197; 53;
18; 0.60; 123; -23; 176; -49; nan; nan; nan; nan; 342; 111; -154; -233; nan; nan; nan; nan; 124; -158; -138; -16;
